NHS Region,Date,Median,Lower 95% CrI,Upper 95% CrI
Midlands,2020-03-21,2.57534900557269,2.41591531837266,2.74243830386412
Midlands,2020-03-20,2.59390017953414,2.4304908751132,2.7588251029058
Midlands,2020-03-19,2.60985775765531,2.44378502802446,2.77187214676547
Midlands,2020-03-18,2.62286195197638,2.45511565080426,2.78597146630532
Midlands,2020-03-17,2.63287210277406,2.46358317899446,2.79672596465363
Midlands,2020-03-16,2.64098352912946,2.47040247926211,2.80358504184928
Midlands,2020-03-15,2.64644056199051,2.47607614516387,2.80899158471349
Midlands,2020-03-14,2.65075961432655,2.48094748238386,2.81324894662186
Midlands,2020-03-13,2.65458797834946,2.48489208712546,2.81659876547644
Midlands,2020-03-12,2.65801317808204,2.4880838366225,2.81923288324481
Midlands,2020-03-11,2.66074617166619,2.49066483694897,2.82130321484413
Midlands,2020-03-10,2.66292576495355,2.49275092733269,2.82292981552406
Midlands,2020-03-09,2.66456782224763,2.49443633892364,2.82420741304796
Midlands,2020-03-08,2.66582183704574,2.49569861392213,2.82521065886193
Midlands,2020-03-07,2.66682047589279,2.49666182488442,2.82599832635289
Midlands,2020-03-06,2.66761560922601,2.49743633508531,2.82661665320273
Midlands,2020-03-05,2.66824862418985,2.49805901602795,2.82710199370085
Midlands,2020-03-04,2.66875252363395,2.49855956888439,2.82748291819103
Midlands,2020-03-03,2.66915361222728,2.4989619067385,2.82778187165533
Midlands,2020-03-02,2.66947284813774,2.49928527469782,2.82801648202529
Midlands,2020-03-01,2.66972692487329,2.49954515603727,2.82820059097831
Midlands,2020-02-29,2.66992913605767,2.49975400425537,2.82834506533817
Midlands,2020-02-28,2.67009006598792,2.49992183383304,2.82845843530376
Midlands,2020-02-27,2.67021814062173,2.50005669651242,2.82854739616622
Midlands,2020-02-26,2.67032006699939,2.50016506504225,2.82861720259092
Midlands,2020-02-25,2.67040118366616,2.50025214241043,2.82867197848907
Midlands,2020-02-24,2.67046573981119,2.50032211091577,2.82871496035331
Midlands,2020-02-23,2.67051711665126,2.50037833165015,2.82874868760511
Midlands,2020-02-22,2.67055800313655,2.50042350354321,2.82878030514567
Midlands,2020-02-21,2.67059053994875,2.50045979489476,2.82880711508404
Midlands,2020-02-20,2.67061644068145,2.50048895846419,2.82882826337429
Midlands,2020-02-19,2.67063707430321,2.50051241228233,2.82884495828476
Midlands,2020-02-18,2.67065348634355,2.50053125089939,2.82885811421336
